Delta,num_patients_label,num_players,tu_altruists,strong_altruists,weak_altruists,lex_altruists
2,100,5,0.0,0.0,0.0,0.0
2,100,10,0.0,0.0,0.0,0.1
2,100,15,0.4,0.2,0.0,0.2
2,100,20,0.6,0.7,0.0,0.3
2,100,30,0.6,0.4,0.0,0.4
2,200,5,0.0,0.0,0.0,0.0
2,200,10,0.0,0.0,0.0,0.0
2,200,15,0.0,0.0,0.0,0.6
2,200,20,0.0,0.0,0.0,0.0
2,200,30,0.0,0.0,0.0,0.0
2,500,5,0.0,0.0,0.0,0.1
2,500,10,0.0,0.0,0.0,0.0
2,500,15,0.0,0.0,0.0,0.0
2,500,20,0.0,0.0,0.0,0.0
2,500,30,0.0,0.0,0.0,0.0
3,100,5,0.0,0.0,0.0,0.0
3,100,10,0.0,0.0,0.0,0.0
3,100,15,0.0,0.0,0.0,0.0
3,100,20,0.1,0.1,0.0,0.1
3,100,30,0.2,0.2,0.1,0.3
3,200,5,0.0,0.0,0.0,0.0
3,200,10,0.0,0.0,0.0,0.0
3,200,15,0.0,0.0,0.0,0.0
3,200,20,0.0,0.0,0.0,0.0
3,200,30,0.0,0.0,0.0,0.0
3,500,5,0.0,0.0,0.0,0.2
3,500,10,0.0,0.0,0.0,0.0
3,500,15,0.0,0.0,0.0,0.0
3,500,20,0.0,0.0,0.0,0.0
3,500,30,0.0,0.0,0.0,0.0
