pool_size,num_players,Delta,markets,initial_blocked,lex_assisted,weak_assisted,initial_block_rate,lex_assisted_rate
100,5,2,60,0,0,0,0.0,0.0
100,5,3,60,0,0,0,0.0,0.0
100,10,2,60,3,3,0,0.05,0.05
100,10,3,60,0,0,0,0.0,0.0
100,20,2,60,5,4,0,0.08333333333333333,0.06666666666666667
100,20,3,60,2,2,0,0.03333333333333333,0.03333333333333333
100,30,2,60,8,7,0,0.13333333333333333,0.11666666666666667
100,30,3,60,4,4,1,0.06666666666666667,0.06666666666666667
200,5,2,60,1,1,0,0.016666666666666666,0.016666666666666666
200,5,3,60,0,0,0,0.0,0.0
200,10,2,60,0,0,0,0.0,0.0
200,10,3,60,0,0,0,0.0,0.0
200,20,2,60,1,1,0,0.016666666666666666,0.016666666666666666
200,20,3,60,0,0,0,0.0,0.0
200,30,2,60,1,0,0,0.016666666666666666,0.0
200,30,3,60,0,0,0,0.0,0.0
500,5,2,60,3,2,0,0.05,0.03333333333333333
500,5,3,60,12,11,0,0.2,0.18333333333333332
500,10,2,60,4,2,0,0.06666666666666667,0.03333333333333333
500,10,3,60,21,19,0,0.35,0.31666666666666665
500,20,2,60,1,0,0,0.016666666666666666,0.0
500,20,3,60,5,3,0,0.08333333333333333,0.05
500,30,2,60,0,0,0,0.0,0.0
500,30,3,60,0,0,0,0.0,0.0
