market_id,num_players,pool_size,Delta,successful_orders,best_introduced,worst_introduced,best_used,worst_used
genxml-0.xml|p500|n5|r1|d3,5,500,3,3,1,1,1,1
genxml-11.xml|p100|n20|r0|d3,20,100,3,3,1,1,1,1
genxml-11.xml|p100|n30|r0|d2,30,100,2,3,1,1,1,1
genxml-11.xml|p500|n10|r0|d3,10,500,3,3,1,1,1,1
genxml-11.xml|p500|n10|r1|d3,10,500,3,3,1,1,1,1
genxml-11.xml|p500|n5|r1|d3,5,500,3,3,1,1,1,1
genxml-2.xml|p100|n20|r0|d2,20,100,2,1,0,0,0,0
genxml-24.xml|p500|n10|r1|d2,10,500,2,3,1,1,1,1
genxml-24.xml|p500|n10|r1|d3,10,500,3,3,1,2,1,1
genxml-24.xml|p500|n5|r0|d3,5,500,3,3,1,1,1,1
genxml-25.xml|p100|n30|r0|d2,30,100,2,3,1,1,1,1
genxml-25.xml|p100|n30|r0|d3,30,100,3,3,1,3,1,1
genxml-25.xml|p100|n30|r1|d2,30,100,2,3,1,3,1,1
genxml-25.xml|p200|n5|r1|d2,5,200,2,3,1,2,1,1
genxml-27.xml|p100|n30|r0|d3,30,100,3,3,1,1,1,1
genxml-27.xml|p500|n10|r1|d3,10,500,3,3,1,1,1,1
genxml-27.xml|p500|n5|r0|d3,5,500,3,3,1,1,1,1
genxml-27.xml|p500|n5|r1|d3,5,500,3,3,1,1,1,1
genxml-36.xml|p100|n20|r1|d2,20,100,2,3,1,3,1,1
genxml-36.xml|p100|n20|r1|d3,20,100,3,3,1,2,1,1
genxml-36.xml|p500|n10|r1|d2,10,500,2,1,0,0,0,0
genxml-36.xml|p500|n10|r1|d3,10,500,3,3,1,1,1,1
genxml-36.xml|p500|n20|r1|d2,20,500,2,1,0,0,0,0
genxml-37.xml|p100|n30|r0|d3,30,100,3,3,1,2,1,1
genxml-37.xml|p100|n30|r1|d2,30,100,2,1,0,0,0,0
genxml-37.xml|p100|n30|r1|d3,30,100,3,3,1,1,1,1
genxml-39.xml|p500|n10|r0|d3,10,500,3,3,1,1,1,1
genxml-39.xml|p500|n10|r1|d3,10,500,3,2,1,1,1,1
genxml-4.xml|p500|n10|r1|d2,10,500,2,3,1,1,1,1
genxml-4.xml|p500|n10|r1|d3,10,500,3,3,1,1,1,1
genxml-46.xml|p500|n10|r0|d3,10,500,3,3,1,1,1,1
genxml-46.xml|p500|n10|r1|d3,10,500,3,3,1,1,1,1
genxml-48.xml|p500|n5|r1|d2,5,500,2,3,1,1,1,1
genxml-57.xml|p100|n20|r0|d2,20,100,2,3,1,2,1,1
genxml-58.xml|p100|n10|r0|d2,10,100,2,3,1,1,1,1
genxml-58.xml|p100|n30|r0|d2,30,100,2,3,1,1,1,1
genxml-58.xml|p500|n5|r1|d2,5,500,2,1,0,0,0,0
genxml-58.xml|p500|n5|r1|d3,5,500,3,3,1,1,1,1
genxml-60.xml|p200|n20|r1|d2,20,200,2,3,1,1,1,1
genxml-65.xml|p100|n30|r1|d2,30,100,2,3,1,1,1,1
genxml-65.xml|p500|n10|r1|d3,10,500,3,3,1,1,1,1
genxml-65.xml|p500|n20|r1|d3,20,500,3,3,1,1,1,1
genxml-68.xml|p500|n10|r0|d2,10,500,2,1,0,0,0,0
genxml-68.xml|p500|n10|r0|d3,10,500,3,2,1,1,1,1
genxml-68.xml|p500|n20|r0|d3,20,500,3,1,0,0,0,0
genxml-68.xml|p500|n5|r0|d2,5,500,2,3,1,1,1,1
genxml-68.xml|p500|n5|r0|d3,5,500,3,3,1,1,1,1
genxml-70.xml|p500|n10|r1|d3,10,500,3,2,1,1,1,1
genxml-71.xml|p100|n30|r1|d2,30,100,2,3,1,1,1,1
genxml-71.xml|p500|n10|r1|d3,10,500,3,3,1,1,1,1
genxml-71.xml|p500|n20|r0|d3,20,500,3,3,1,1,1,1
genxml-80.xml|p100|n10|r0|d2,10,100,2,3,1,1,1,1
genxml-80.xml|p100|n20|r1|d2,20,100,2,3,1,2,1,1
genxml-80.xml|p500|n10|r1|d3,10,500,3,1,0,0,0,0
genxml-83.xml|p100|n10|r0|d2,10,100,2,3,1,1,1,1
genxml-83.xml|p500|n5|r0|d3,5,500,3,3,1,1,1,1
genxml-83.xml|p500|n5|r1|d3,5,500,3,1,0,0,0,0
genxml-88.xml|p100|n20|r0|d2,20,100,2,3,1,1,1,1
genxml-88.xml|p500|n10|r0|d3,10,500,3,3,1,1,1,1
genxml-88.xml|p500|n20|r0|d3,20,500,3,3,1,1,1,1
genxml-88.xml|p500|n5|r0|d3,5,500,3,3,1,1,1,1
genxml-89.xml|p500|n10|r1|d3,10,500,3,3,1,1,1,1
genxml-89.xml|p500|n5|r1|d3,5,500,3,3,1,1,1,1
genxml-91.xml|p500|n10|r0|d3,10,500,3,3,1,1,1,1
genxml-91.xml|p500|n10|r1|d3,10,500,3,1,0,0,0,0
genxml-91.xml|p500|n20|r0|d3,20,500,3,1,0,0,0,0
genxml-91.xml|p500|n5|r1|d3,5,500,3,3,1,1,1,1
genxml-92.xml|p200|n30|r0|d2,30,200,2,1,0,0,0,0
genxml-92.xml|p500|n10|r0|d3,10,500,3,3,1,2,1,1
genxml-94.xml|p100|n30|r1|d2,30,100,2,3,2,3,1,2
genxml-94.xml|p500|n10|r0|d3,10,500,3,2,1,1,1,1
