factor,level,markets,initial_blocked,initial_block_rate,initial_block_ci_low,initial_block_ci_high,lex_assisted,lex_assisted_rate,lex_assisted_ci_low,lex_assisted_ci_high,weak_assisted,weak_assisted_rate,weak_assisted_ci_low,weak_assisted_ci_high
Overall,All,1440,71,0.04930555555555556,0.038194444444444434,0.060416666666666674,59,0.04097222222222222,0.03125,0.05069444444444445,1,0.0006944444444444444,0.0,0.0020833333333333333
Organizations,5,360,16,0.04444444444444443,0.024999999999999998,0.06666666666666667,14,0.03888888888888888,0.02222222222222222,0.05833333333333333,0,0.0,0.0,0.0
Organizations,10,360,28,0.07777777777777777,0.05277777777777778,0.10277777777777776,24,0.06666666666666665,0.04444444444444444,0.08888888888888886,0,0.0,0.0,0.0
Organizations,20,360,14,0.03888888888888888,0.01944444444444444,0.06111111111111111,10,0.027777777777777776,0.01111111111111111,0.047222222222222214,0,0.0,0.0,0.0
Organizations,30,360,13,0.03611111111111111,0.013888888888888888,0.06111111111111111,11,0.030555555555555555,0.01111111111111111,0.05277777777777778,1,0.0027777777777777775,0.0,0.008333333333333333
Pool size,100,480,22,0.04583333333333333,0.025,0.06666666666666667,20,0.041666666666666664,0.022916666666666665,0.0625,1,0.0020833333333333333,0.0,0.00625
Pool size,200,480,3,0.00625,0.0,0.014583333333333334,2,0.004166666666666667,0.0,0.010416666666666666,0,0.0,0.0,0.0
Pool size,500,480,46,0.09583333333333334,0.06666666666666667,0.12708333333333333,37,0.07708333333333334,0.05416666666666667,0.10208333333333333,0,0.0,0.0,0.0
Cycle cap,2,720,27,0.0375,0.02499999999999999,0.051388888888888894,20,0.027777777777777776,0.016666666666666666,0.03888888888888889,0,0.0,0.0,0.0
Cycle cap,3,720,44,0.061111111111111116,0.04305555555555555,0.08055555555555553,39,0.05416666666666667,0.0375,0.07222222222222222,1,0.0013888888888888887,0.0,0.004166666666666667
