market_id,instance,pool_size,num_players,partition_rep,Delta,initial_certified,initial_in_core,successful_orders,best_introduced,best_used
genxml-0.xml|p100|n20|r0|d2,genxml-0.xml,100,20,0,2,True,True,,,
genxml-0.xml|p100|n20|r0|d3,genxml-0.xml,100,20,0,3,True,True,,,
genxml-0.xml|p100|n20|r1|d2,genxml-0.xml,100,20,1,2,True,True,,,
genxml-0.xml|p100|n20|r1|d3,genxml-0.xml,100,20,1,3,True,True,,,
genxml-0.xml|p100|n30|r0|d2,genxml-0.xml,100,30,0,2,True,True,,,
genxml-0.xml|p100|n30|r0|d3,genxml-0.xml,100,30,0,3,True,True,,,
genxml-0.xml|p100|n30|r1|d2,genxml-0.xml,100,30,1,2,True,True,,,
genxml-0.xml|p100|n30|r1|d3,genxml-0.xml,100,30,1,3,True,True,,,
genxml-0.xml|p200|n20|r0|d2,genxml-0.xml,200,20,0,2,True,True,,,
genxml-0.xml|p200|n20|r0|d3,genxml-0.xml,200,20,0,3,True,True,,,
genxml-0.xml|p200|n20|r1|d2,genxml-0.xml,200,20,1,2,True,True,,,
genxml-0.xml|p200|n20|r1|d3,genxml-0.xml,200,20,1,3,True,True,,,
genxml-0.xml|p200|n30|r0|d2,genxml-0.xml,200,30,0,2,True,True,,,
genxml-0.xml|p200|n30|r0|d3,genxml-0.xml,200,30,0,3,True,True,,,
genxml-0.xml|p200|n30|r1|d2,genxml-0.xml,200,30,1,2,True,True,,,
genxml-0.xml|p200|n30|r1|d3,genxml-0.xml,200,30,1,3,True,True,,,
genxml-0.xml|p500|n20|r0|d2,genxml-0.xml,500,20,0,2,True,True,,,
genxml-0.xml|p500|n20|r0|d3,genxml-0.xml,500,20,0,3,True,True,,,
genxml-0.xml|p500|n20|r1|d2,genxml-0.xml,500,20,1,2,True,True,,,
genxml-0.xml|p500|n20|r1|d3,genxml-0.xml,500,20,1,3,True,True,,,
genxml-0.xml|p500|n30|r0|d2,genxml-0.xml,500,30,0,2,True,True,,,
genxml-0.xml|p500|n30|r0|d3,genxml-0.xml,500,30,0,3,True,True,,,
genxml-0.xml|p500|n30|r1|d2,genxml-0.xml,500,30,1,2,True,True,,,
genxml-0.xml|p500|n30|r1|d3,genxml-0.xml,500,30,1,3,True,True,,,
genxml-2.xml|p100|n20|r0|d2,genxml-2.xml,100,20,0,2,True,False,1.0,0.0,0.0
genxml-2.xml|p100|n20|r0|d3,genxml-2.xml,100,20,0,3,True,True,,,
genxml-2.xml|p100|n20|r1|d2,genxml-2.xml,100,20,1,2,True,True,,,
genxml-2.xml|p100|n20|r1|d3,genxml-2.xml,100,20,1,3,True,True,,,
genxml-2.xml|p100|n30|r0|d2,genxml-2.xml,100,30,0,2,True,True,,,
genxml-2.xml|p100|n30|r0|d3,genxml-2.xml,100,30,0,3,True,True,,,
genxml-2.xml|p100|n30|r1|d2,genxml-2.xml,100,30,1,2,True,True,,,
genxml-2.xml|p100|n30|r1|d3,genxml-2.xml,100,30,1,3,True,True,,,
genxml-2.xml|p200|n20|r0|d2,genxml-2.xml,200,20,0,2,True,True,,,
genxml-2.xml|p200|n20|r0|d3,genxml-2.xml,200,20,0,3,True,True,,,
genxml-2.xml|p200|n20|r1|d2,genxml-2.xml,200,20,1,2,True,True,,,
genxml-2.xml|p200|n20|r1|d3,genxml-2.xml,200,20,1,3,True,True,,,
genxml-2.xml|p200|n30|r0|d2,genxml-2.xml,200,30,0,2,True,True,,,
genxml-2.xml|p200|n30|r0|d3,genxml-2.xml,200,30,0,3,True,True,,,
genxml-2.xml|p200|n30|r1|d2,genxml-2.xml,200,30,1,2,True,True,,,
genxml-2.xml|p200|n30|r1|d3,genxml-2.xml,200,30,1,3,True,True,,,
genxml-2.xml|p500|n20|r0|d2,genxml-2.xml,500,20,0,2,True,True,,,
genxml-2.xml|p500|n20|r0|d3,genxml-2.xml,500,20,0,3,True,True,,,
genxml-2.xml|p500|n20|r1|d2,genxml-2.xml,500,20,1,2,True,True,,,
genxml-2.xml|p500|n20|r1|d3,genxml-2.xml,500,20,1,3,True,True,,,
genxml-2.xml|p500|n30|r0|d2,genxml-2.xml,500,30,0,2,True,True,,,
genxml-2.xml|p500|n30|r0|d3,genxml-2.xml,500,30,0,3,True,True,,,
genxml-2.xml|p500|n30|r1|d2,genxml-2.xml,500,30,1,2,True,True,,,
genxml-2.xml|p500|n30|r1|d3,genxml-2.xml,500,30,1,3,True,True,,,
genxml-4.xml|p100|n20|r0|d2,genxml-4.xml,100,20,0,2,True,True,,,
genxml-4.xml|p100|n20|r0|d3,genxml-4.xml,100,20,0,3,True,True,,,
genxml-4.xml|p100|n20|r1|d2,genxml-4.xml,100,20,1,2,True,True,,,
genxml-4.xml|p100|n20|r1|d3,genxml-4.xml,100,20,1,3,True,True,,,
genxml-4.xml|p100|n30|r0|d2,genxml-4.xml,100,30,0,2,True,True,,,
genxml-4.xml|p100|n30|r0|d3,genxml-4.xml,100,30,0,3,True,True,,,
genxml-4.xml|p100|n30|r1|d2,genxml-4.xml,100,30,1,2,True,True,,,
genxml-4.xml|p100|n30|r1|d3,genxml-4.xml,100,30,1,3,True,True,,,
genxml-4.xml|p200|n20|r0|d2,genxml-4.xml,200,20,0,2,True,True,,,
genxml-4.xml|p200|n20|r0|d3,genxml-4.xml,200,20,0,3,True,True,,,
genxml-4.xml|p200|n20|r1|d2,genxml-4.xml,200,20,1,2,True,True,,,
genxml-4.xml|p200|n20|r1|d3,genxml-4.xml,200,20,1,3,True,True,,,
genxml-4.xml|p200|n30|r0|d2,genxml-4.xml,200,30,0,2,True,True,,,
genxml-4.xml|p200|n30|r0|d3,genxml-4.xml,200,30,0,3,True,True,,,
genxml-4.xml|p200|n30|r1|d2,genxml-4.xml,200,30,1,2,True,True,,,
genxml-4.xml|p200|n30|r1|d3,genxml-4.xml,200,30,1,3,True,True,,,
genxml-4.xml|p500|n20|r0|d2,genxml-4.xml,500,20,0,2,True,True,,,
genxml-4.xml|p500|n20|r0|d3,genxml-4.xml,500,20,0,3,True,True,,,
genxml-4.xml|p500|n20|r1|d2,genxml-4.xml,500,20,1,2,True,True,,,
genxml-4.xml|p500|n20|r1|d3,genxml-4.xml,500,20,1,3,True,True,,,
genxml-4.xml|p500|n30|r0|d2,genxml-4.xml,500,30,0,2,True,True,,,
genxml-4.xml|p500|n30|r0|d3,genxml-4.xml,500,30,0,3,True,True,,,
genxml-4.xml|p500|n30|r1|d2,genxml-4.xml,500,30,1,2,True,True,,,
genxml-4.xml|p500|n30|r1|d3,genxml-4.xml,500,30,1,3,True,True,,,
genxml-11.xml|p100|n20|r0|d2,genxml-11.xml,100,20,0,2,True,True,,,
genxml-11.xml|p100|n20|r0|d3,genxml-11.xml,100,20,0,3,True,False,3.0,1.0,1.0
genxml-11.xml|p100|n20|r1|d2,genxml-11.xml,100,20,1,2,True,True,,,
genxml-11.xml|p100|n20|r1|d3,genxml-11.xml,100,20,1,3,True,True,,,
genxml-11.xml|p100|n30|r0|d2,genxml-11.xml,100,30,0,2,True,False,3.0,1.0,1.0
genxml-11.xml|p100|n30|r0|d3,genxml-11.xml,100,30,0,3,True,True,,,
genxml-11.xml|p100|n30|r1|d2,genxml-11.xml,100,30,1,2,True,True,,,
genxml-11.xml|p100|n30|r1|d3,genxml-11.xml,100,30,1,3,True,True,,,
genxml-11.xml|p200|n20|r0|d2,genxml-11.xml,200,20,0,2,True,True,,,
genxml-11.xml|p200|n20|r0|d3,genxml-11.xml,200,20,0,3,True,True,,,
genxml-11.xml|p200|n20|r1|d2,genxml-11.xml,200,20,1,2,True,True,,,
genxml-11.xml|p200|n20|r1|d3,genxml-11.xml,200,20,1,3,True,True,,,
genxml-11.xml|p200|n30|r0|d2,genxml-11.xml,200,30,0,2,True,True,,,
genxml-11.xml|p200|n30|r0|d3,genxml-11.xml,200,30,0,3,True,True,,,
genxml-11.xml|p200|n30|r1|d2,genxml-11.xml,200,30,1,2,True,True,,,
genxml-11.xml|p200|n30|r1|d3,genxml-11.xml,200,30,1,3,True,True,,,
genxml-11.xml|p500|n20|r0|d2,genxml-11.xml,500,20,0,2,True,True,,,
genxml-11.xml|p500|n20|r0|d3,genxml-11.xml,500,20,0,3,True,True,,,
genxml-11.xml|p500|n20|r1|d2,genxml-11.xml,500,20,1,2,True,True,,,
genxml-11.xml|p500|n20|r1|d3,genxml-11.xml,500,20,1,3,True,True,,,
genxml-11.xml|p500|n30|r0|d2,genxml-11.xml,500,30,0,2,True,True,,,
genxml-11.xml|p500|n30|r0|d3,genxml-11.xml,500,30,0,3,True,True,,,
genxml-11.xml|p500|n30|r1|d2,genxml-11.xml,500,30,1,2,True,True,,,
genxml-11.xml|p500|n30|r1|d3,genxml-11.xml,500,30,1,3,True,True,,,
genxml-13.xml|p100|n20|r0|d2,genxml-13.xml,100,20,0,2,True,True,,,
genxml-13.xml|p100|n20|r0|d3,genxml-13.xml,100,20,0,3,True,True,,,
genxml-13.xml|p100|n20|r1|d2,genxml-13.xml,100,20,1,2,True,True,,,
genxml-13.xml|p100|n20|r1|d3,genxml-13.xml,100,20,1,3,True,True,,,
genxml-13.xml|p100|n30|r0|d2,genxml-13.xml,100,30,0,2,True,True,,,
genxml-13.xml|p100|n30|r0|d3,genxml-13.xml,100,30,0,3,True,True,,,
genxml-13.xml|p100|n30|r1|d2,genxml-13.xml,100,30,1,2,True,True,,,
genxml-13.xml|p100|n30|r1|d3,genxml-13.xml,100,30,1,3,True,True,,,
genxml-13.xml|p200|n20|r0|d2,genxml-13.xml,200,20,0,2,True,True,,,
genxml-13.xml|p200|n20|r0|d3,genxml-13.xml,200,20,0,3,True,True,,,
