Delta,actual_vertices,algorithm,available_altruists,baseline_real_transplants,certified,cycle_enumeration_seconds,donor_order,donors_introduced,donors_used,evidence_type,graph_construction_seconds,graph_seed,in_core,instance,instance_load_seconds,introduced_donor_ids,market_id,max_coal_size,max_mip_gap,num_cuts,num_master_solves,num_optimization_solves,num_players,num_separation_solves,optimization_seconds,order_rep,partition_rep,partition_seconds,partition_seed,pool_size,real_transplants,runner_seconds,runtime_seconds,separation_seconds,solver_status,termination_reason,used_donor_ids,baseline_objective_tiers,achieved_objective_tiers,objective_floor_slacks,objective_floor_type,objective_score_reference,search_cut_type
2,100,weak_heuristic,53,,True,,"[1210, 1240, 1196, 1220, 1229, 1243, 1221, 1232, 1205, 1199, 1214, 1235, 1219, 1238, 1236, 1233, 1244, 1203, 1216, 1206, 1212, 1209, 1195, 1227, 1241, 1230, 1242, 1218, 1197, 1245, 1201, 1231, 1208, 1226, 1225, 1222, 1223, 1204, 1239, 1215, 1228, 1211, 1234, 1213, 1207, 1224, 1198, 1202, 1194, 1200, 1237, 1217, 1246]",0,0,aggregate_cut_heuristic_exact_full_core_final_check,0.002575499936938286,1698231906,True,genxml-0.xml,0.31055479985661805,[],genxml-0.xml|p100|n20|r0|d2,30,,0,,,20,,,0,0,0.00026739994063973427,1732417880,100,,0.033882300136610866,0.033882300136610866,,,heuristic_found_full_weak_core_allocation,[],,,,,,
3,100,weak_heuristic,53,,True,,"[1210, 1240, 1196, 1220, 1229, 1243, 1221, 1232, 1205, 1199, 1214, 1235, 1219, 1238, 1236, 1233, 1244, 1203, 1216, 1206, 1212, 1209, 1195, 1227, 1241, 1230, 1242, 1218, 1197, 1245, 1201, 1231, 1208, 1226, 1225, 1222, 1223, 1204, 1239, 1215, 1228, 1211, 1234, 1213, 1207, 1224, 1198, 1202, 1194, 1200, 1237, 1217, 1246]",0,0,aggregate_cut_heuristic_exact_full_core_final_check,0.002575499936938286,1698231906,True,genxml-0.xml,0.31055479985661805,[],genxml-0.xml|p100|n20|r0|d3,30,,0,,,20,,,0,0,0.00026739994063973427,1732417880,100,,0.054787199944257736,0.054787199944257736,,,heuristic_found_full_weak_core_allocation,[],,,,,,
2,100,weak_heuristic,53,,True,,"[1242, 1209, 1232, 1220, 1206, 1210, 1212, 1225, 1230, 1211, 1234, 1201, 1224, 1214, 1226, 1231, 1243, 1198, 1222, 1236, 1208, 1217, 1196, 1195, 1204, 1233, 1213, 1215, 1238, 1241, 1199, 1245, 1239, 1216, 1197, 1218, 1219, 1203, 1244, 1228, 1246, 1205, 1200, 1229, 1207, 1202, 1237, 1194, 1240, 1235, 1223, 1227, 1221]",0,0,aggregate_cut_heuristic_exact_full_core_final_check,0.002575499936938286,1698231906,True,genxml-0.xml,0.31055479985661805,[],genxml-0.xml|p100|n20|r1|d2,30,,0,,,20,,,0,1,0.0002679999452084303,2895195526,100,,0.01851219986565411,0.01851219986565411,,,heuristic_found_full_weak_core_allocation,[],,,,,,
3,100,weak_heuristic,53,,True,,"[1242, 1209, 1232, 1220, 1206, 1210, 1212, 1225, 1230, 1211, 1234, 1201, 1224, 1214, 1226, 1231, 1243, 1198, 1222, 1236, 1208, 1217, 1196, 1195, 1204, 1233, 1213, 1215, 1238, 1241, 1199, 1245, 1239, 1216, 1197, 1218, 1219, 1203, 1244, 1228, 1246, 1205, 1200, 1229, 1207, 1202, 1237, 1194, 1240, 1235, 1223, 1227, 1221]",0,0,aggregate_cut_heuristic_exact_full_core_final_check,0.002575499936938286,1698231906,True,genxml-0.xml,0.31055479985661805,[],genxml-0.xml|p100|n20|r1|d3,30,,0,,,20,,,0,1,0.0002679999452084303,2895195526,100,,0.055366599932312965,0.055366599932312965,,,heuristic_found_full_weak_core_allocation,[],,,,,,
2,100,weak_heuristic,53,,True,,"[1244, 1215, 1202, 1246, 1203, 1220, 1209, 1237, 1245, 1221, 1217, 1211, 1242, 1224, 1200, 1228, 1222, 1239, 1236, 1230, 1225, 1243, 1206, 1196, 1201, 1204, 1214, 1235, 1199, 1219, 1234, 1216, 1198, 1210, 1238, 1194, 1227, 1213, 1233, 1241, 1212, 1207, 1197, 1226, 1205, 1223, 1218, 1232, 1229, 1208, 1231, 1240, 1195]",0,0,aggregate_cut_heuristic_exact_full_core_final_check,0.002575499936938286,1698231906,True,genxml-0.xml,0.31055479985661805,[],genxml-0.xml|p100|n30|r0|d2,30,,0,,,30,,,0,0,0.0002506000455468893,3456562875,100,,0.016025499906390905,0.016025499906390905,,,heuristic_found_full_weak_core_allocation,[],,,,,,
3,100,weak_heuristic,53,,True,,"[1244, 1215, 1202, 1246, 1203, 1220, 1209, 1237, 1245, 1221, 1217, 1211, 1242, 1224, 1200, 1228, 1222, 1239, 1236, 1230, 1225, 1243, 1206, 1196, 1201, 1204, 1214, 1235, 1199, 1219, 1234, 1216, 1198, 1210, 1238, 1194, 1227, 1213, 1233, 1241, 1212, 1207, 1197, 1226, 1205, 1223, 1218, 1232, 1229, 1208, 1231, 1240, 1195]",0,0,aggregate_cut_heuristic_exact_full_core_final_check,0.002575499936938286,1698231906,True,genxml-0.xml,0.31055479985661805,[],genxml-0.xml|p100|n30|r0|d3,30,,0,,,30,,,0,0,0.0002506000455468893,3456562875,100,,0.058984800009056926,0.058984800009056926,,,heuristic_found_full_weak_core_allocation,[],,,,,,
2,100,weak_heuristic,53,,True,,"[1241, 1242, 1225, 1233, 1201, 1211, 1206, 1232, 1228, 1212, 1203, 1239, 1229, 1230, 1209, 1244, 1204, 1227, 1236, 1222, 1223, 1245, 1221, 1238, 1220, 1235, 1234, 1214, 1202, 1210, 1205, 1226, 1194, 1197, 1240, 1196, 1208, 1199, 1195, 1246, 1213, 1231, 1218, 1207, 1224, 1216, 1237, 1217, 1198, 1243, 1219, 1215, 1200]",0,0,aggregate_cut_heuristic_exact_full_core_final_check,0.002575499936938286,1698231906,True,genxml-0.xml,0.31055479985661805,[],genxml-0.xml|p100|n30|r1|d2,30,,0,,,30,,,0,1,0.0002429999876767397,3516281709,100,,0.016328700119629502,0.016328700119629502,,,heuristic_found_full_weak_core_allocation,[],,,,,,
3,100,weak_heuristic,53,,True,,"[1241, 1242, 1225, 1233, 1201, 1211, 1206, 1232, 1228, 1212, 1203, 1239, 1229, 1230, 1209, 1244, 1204, 1227, 1236, 1222, 1223, 1245, 1221, 1238, 1220, 1235, 1234, 1214, 1202, 1210, 1205, 1226, 1194, 1197, 1240, 1196, 1208, 1199, 1195, 1246, 1213, 1231, 1218, 1207, 1224, 1216, 1237, 1217, 1198, 1243, 1219, 1215, 1200]",0,0,aggregate_cut_heuristic_exact_full_core_final_check,0.002575499936938286,1698231906,True,genxml-0.xml,0.31055479985661805,[],genxml-0.xml|p100|n30|r1|d3,30,,0,,,30,,,0,1,0.0002429999876767397,3516281709,100,,0.059336400125175714,0.059336400125175714,,,heuristic_found_full_weak_core_allocation,[],,,,,,
2,200,weak_heuristic,53,,True,,"[1219, 1197, 1206, 1237, 1214, 1238, 1215, 1208, 1207, 1236, 1240, 1239, 1228, 1225, 1246, 1234, 1200, 1204, 1222, 1244, 1195, 1224, 1209, 1194, 1241, 1226, 1221, 1201, 1198, 1220, 1202, 1233, 1245, 1218, 1211, 1231, 1235, 1205, 1232, 1230, 1227, 1213, 1216, 1196, 1203, 1210, 1243, 1223, 1217, 1229, 1199, 1212, 1242]",0,0,aggregate_cut_heuristic_exact_full_core_final_check,0.005559599958360195,1832203134,True,genxml-0.xml,0.31055479985661805,[],genxml-0.xml|p200|n20|r0|d2,30,,0,,,20,,,0,0,0.0003340998664498329,3502165881,200,,0.026189500000327826,0.026189500000327826,,,heuristic_found_full_weak_core_allocation,[],,,,,,
3,200,weak_heuristic,53,,True,,"[1219, 1197, 1206, 1237, 1214, 1238, 1215, 1208, 1207, 1236, 1240, 1239, 1228, 1225, 1246, 1234, 1200, 1204, 1222, 1244, 1195, 1224, 1209, 1194, 1241, 1226, 1221, 1201, 1198, 1220, 1202, 1233, 1245, 1218, 1211, 1231, 1235, 1205, 1232, 1230, 1227, 1213, 1216, 1196, 1203, 1210, 1243, 1223, 1217, 1229, 1199, 1212, 1242]",0,0,aggregate_cut_heuristic_exact_full_core_final_check,0.005559599958360195,1832203134,True,genxml-0.xml,0.31055479985661805,[],genxml-0.xml|p200|n20|r0|d3,30,,0,,,20,,,0,0,0.0003340998664498329,3502165881,200,,0.31795830000191927,0.31795830000191927,,,heuristic_found_full_weak_core_allocation,[],,,,,,
